Generations#,Fitness
1,39201746
2,38531324
3,37773801
4,36967888
5,36254193
6,35516958
7,34726175
8,34040166
9,33514596
10,32902728
11,32547906
12,32121467
13,31630985
14,31296950
15,30936914
16,30623694
17,30269812
18,29997063
19,29862551
20,29549116
21,29259210
22,28999770
23,28912121
24,28662987
25,28441291
26,28317121
27,28096324
28,28020778
29,27918012
30,27821716
31,27718968
32,27592740
33,27495748
34,27432354
35,27386911
36,27293097
37,27270822
38,27219632
39,27174846
40,27174846
41,27116425
42,27078321
43,27041713
44,26944045
45,26832036
46,26784224
47,26721886
48,26658260
49,26573720
50,26529828
51,26488076
52,26434326
53,26412150
54,26379796
55,26354273
56,26327475
57,26294763
58,26265777
59,26230665
60,26186965
61,26163838
62,26118468
63,26103084
64,26068067
65,26012458
66,25977697
67,25926060
68,25880917
69,25852115
70,25831935
71,25823287
72,25799781
73,25775526
74,25740143
75,25714386
76,25684923
77,25670796
78,25619261
79,25597887
80,25551213
81,25514150
82,25470987
83,25435599
84,25411584
85,25383648
86,25349365
87,25325118
88,25312182
89,25283992
90,25264423
91,25249296
92,25235503
93,25198035
94,25167524
95,25102232
96,25080577
97,25057770
98,25032960
99,25021714
100,25006830
101,24982350
102,24972877
103,24957255
104,24908431
105,24898480
106,24865535
107,24846191
108,24809179
109,24783454
110,24749383
111,24729178
112,24701641
113,24667624
114,24641156
115,24617648
116,24604574
117,24585434
118,24568577
119,24524667
120,24503354
121,24475028
122,24459934
123,24439253
124,24415341
125,24400515
126,24382581
127,24372407
128,24347980
129,24309253
130,24274735
131,24230205
132,24198213
133,24186513
134,24167495
135,24126818
136,24126818
137,24083133
138,24048520
139,24019938
140,24001302
141,23975561
142,23948680
143,23907167
144,23887949
145,23867324
146,23849687
147,23816456
148,23777601
149,23767906
150,23731083
151,23707815
152,23678741
153,23651185
154,23637068
155,23594183
156,23562066
157,23550616
158,23528491
159,23513747
160,23483795
161,23458030
162,23441152
163,23419821
164,23396126
165,23374807
166,23348370
167,23339200
168,23317613
169,23302026
170,23264833
171,23241679
172,23232356
173,23211047
174,23185034
175,23158910
176,23125646
177,23117687
178,23097959
179,23060859
180,23034054
181,23004498
182,22986217
183,22972629
184,22959497
185,22945296
186,22924877
187,22906202
188,22874027
189,22833457
190,22797518
191,22780012
192,22736644
193,22709901
194,22708349
195,22682473
196,22682473
197,22682276
198,22646750
199,22618058
200,22600607
201,22569983
202,22543049
203,22543049
204,22510013
205,22443386
206,22443386
207,22443386
208,22435937
209,22400783
210,22381897
211,22359670
212,22343337
213,22308728
214,22304252
215,22266718
216,22253216
217,22235718
218,22218368
219,22194658
220,22177499
221,22145227
222,22122427
223,22092511
224,22070754
225,22049120
226,22024956
227,22008096
228,21988968
229,21954754
230,21901114
231,21850277
232,21829990
233,21813136
234,21787644
235,21752441
236,21747023
237,21732537
238,21721847
239,21694564
240,21662314
241,21624980
242,21600050
243,21576801
244,21575106
245,21552006
246,21533756
247,21513768
248,21489674
249,21489674
250,21477322
251,21466804
252,21449717
253,21434391
254,21403236
255,21368564
256,21339478
257,21283209
258,21273504
259,21238338
260,21217551
261,21195942
262,21183191
263,21179553
264,21167187
265,21153546
266,21134331
267,21116197
268,21104050
269,21090518
270,21073048
271,21057150
272,21027332
273,21015640
274,20998826
275,20993326
276,20978650
277,20966703
278,20948629
279,20938687
280,20925791
281,20908308
282,20893539
283,20882204
284,20853690
285,20848136
286,20827526
287,20810089
288,20780821
289,20767211
290,20714116
291,20714116
292,20696996
293,20661084
294,20650255
295,20632127
296,20618153
297,20592477
298,20577901
299,20563777
300,20550506
301,20540261
302,20528813
303,20510123
304,20493089
305,20478638
306,20448074
307,20447078
308,20431582
309,20407834
310,20383230
311,20374881
312,20365932
313,20354321
314,20338329
315,20313638
316,20283722
317,20270229
318,20242938
319,20224860
320,20199733
321,20185119
322,20165511
323,20148951
324,20131747
325,20119327
326,20098343
327,20085469
328,20069789
329,20051019
330,20036570
331,20015874
332,20002272
333,19988655
334,19966231
335,19930835
336,19917895
337,19896621
338,19877502
339,19864871
340,19848358
341,19822113
342,19811599
343,19802194
344,19780653
345,19766148
346,19758154
347,19740017
348,19725806
349,19708409
350,19689923
351,19661533
352,19656894
353,19641153
354,19631727
355,19602780
356,19602780
357,19602780
358,19589860
359,19567679
360,19539060
361,19528799
362,19522543
363,19511587
364,19491316
365,19477816
366,19452936
367,19416242
368,19405464
369,19395414
370,19371740
371,19362150
372,19342535
373,19321107
374,19293275
375,19293275
376,19283226
377,19263356
378,19256675
379,19242157
380,19235480
381,19217801
382,19207300
383,19182429
384,19162825
385,19134256
386,19113535
387,19098051
388,19086638
389,19079337
390,19066220
391,19052182
392,19034678
393,19015931
394,18986634
395,18971307
396,18945954
397,18921940
398,18897858
399,18874882
400,18858735
401,18856994
402,18840983
403,18826871
404,18811203
405,18784612
406,18758947
407,18746115
408,18737707
409,18727483
410,18721756
411,18704992
412,18704992
413,18692452
414,18682537
415,18667693
416,18651959
417,18620448
418,18611279
419,18593445
420,18586454
421,18572756
422,18557097
423,18530615
424,18506993
425,18482315
426,18473726
427,18454490
428,18449847
429,18428290
430,18415938
431,18399435
432,18386348
433,18374582
434,18347881
435,18326642
436,18315507
437,18307084
438,18292726
439,18273234
440,18258111
441,18237696
442,18217063
443,18205396
444,18198554
445,18185611
446,18174064
447,18159760
448,18133447
449,18126374
450,18117533
451,18100487
452,18088446
453,18078536
454,18072105
455,18072105
456,18064480
457,18049232
458,18038623
459,18025561
460,18018054
461,18005772
462,17992972
463,17976881
464,17963723
465,17955485
466,17933231
467,17919521
468,17907011
469,17892955
470,17879947
471,17860236
472,17855144
473,17841379
474,17841379
475,17841379
476,17839347
477,17839347
478,17839347
479,17839347
480,17832711
481,17827454
482,17813526
483,17798203
484,17779650
485,17761865
486,17740354
487,17729594
488,17728746
489,17715516
490,17697442
491,17682081
492,17654159
493,17650691
494,17629253
495,17629253
496,17621995
497,17602322
498,17584337
499,17566269
500,17556345
501,17546988
502,17532637
503,17520216
504,17502637
505,17485322
506,17480232
507,17471191
508,17465843
509,17455559
510,17445165
511,17432473
512,17411710
513,17408195
514,17379417
515,17353696
516,17329875
517,17319223
518,17316329
519,17310968
520,17299027
521,17292991
522,17281213
523,17266074
524,17257863
525,17246700
526,17239433
527,17220470
528,17200415
529,17188717
530,17172460
531,17152965
532,17142442
533,17135368
534,17122345
535,17110833
536,17097640
537,17082583
538,17081613
539,17075739
540,17072163
541,17063545
542,17045010
543,17025672
544,17025672
545,17015764
546,16998029
547,16984338
548,16973608
549,16967100
550,16961329
